number,value,datetime_start,datetime_complete,duration,params_dema_period,params_tema_fast,params_tema_slow,state
81,2426.1440435438435,2025-06-30 21:57:46.262225,2025-06-30 22:09:13.905856,0 days 00:11:27.643631,174,80,227,COMPLETE
82,1610.6354094014569,2025-06-30 21:57:46.531593,2025-06-30 22:10:31.713812,0 days 00:12:45.182219,133,9,199,COMPLETE
83,-3613.920754884258,2025-06-30 21:57:46.668072,2025-06-30 22:10:48.285911,0 days 00:13:01.617839,98,18,242,COMPLETE
84,1394.5338677666168,2025-06-30 21:57:46.757750,2025-06-30 22:11:06.662032,0 days 00:13:19.904282,73,34,220,COMPLETE
85,0.0,2025-06-30 21:57:47.083874,2025-06-30 22:03:12.903598,0 days 00:05:25.819724,81,77,52,COMPLETE
86,-4645.078377246822,2025-06-30 21:57:47.711634,2025-06-30 22:15:23.043528,0 days 00:17:35.331894,53,12,63,COMPLETE
87,-166.08831602561622,2025-06-30 21:57:47.928963,2025-06-30 22:15:18.378881,0 days 00:17:30.449918,90,79,141,COMPLETE
88,7704.519088336742,2025-06-30 21:57:48.258493,2025-06-30 22:16:18.140123,0 days 00:18:29.881630,193,20,208,COMPLETE
89,14.045810949894076,2025-06-30 21:57:48.636615,2025-06-30 22:15:49.634415,0 days 00:18:00.997800,76,50,194,COMPLETE
90,1330.3298194196695,2025-06-30 21:57:48.715427,2025-06-30 22:16:11.105255,0 days 00:18:22.389828,76,59,203,COMPLETE
91,1725.0172750799893,2025-06-30 21:57:48.825061,2025-06-30 22:19:31.338261,0 days 00:21:42.513200,79,34,171,COMPLETE
92,-1764.2991608491138,2025-06-30 21:57:48.881295,2025-06-30 22:21:07.401828,0 days 00:23:18.520533,65,18,140,COMPLETE
93,3205.584864756507,2025-06-30 21:57:48.981500,2025-06-30 22:18:19.884080,0 days 00:20:30.902580,136,15,77,COMPLETE
94,2288.1037128817043,2025-06-30 21:57:49.244126,2025-06-30 22:19:43.173398,0 days 00:21:53.929272,117,37,102,COMPLETE
95,3666.6918357002887,2025-06-30 21:57:49.377408,2025-06-30 22:18:26.883196,0 days 00:20:37.505788,153,54,174,COMPLETE
96,-2875.6599531601005,2025-06-30 21:57:49.534423,2025-06-30 22:19:29.158514,0 days 00:21:39.624091,87,7,143,COMPLETE
97,1674.5317425014264,2025-06-30 21:57:49.805208,2025-06-30 22:23:43.886278,0 days 00:25:54.081070,110,34,210,COMPLETE
98,1535.015672428186,2025-06-30 21:57:49.953588,2025-06-30 22:20:11.427591,0 days 00:22:21.474003,12,72,197,COMPLETE
99,7493.989817259259,2025-06-30 21:57:50.009737,2025-06-30 22:22:53.619130,0 days 00:25:03.609393,183,67,152,COMPLETE
100,1367.9171375547357,2025-06-30 21:57:50.146517,2025-06-30 22:22:11.665744,0 days 00:24:21.519227,10,72,245,COMPLETE
101,2569.9200852957856,2025-06-30 21:57:50.370914,2025-06-30 22:21:22.758122,0 days 00:23:32.387208,29,50,78,COMPLETE
102,6082.70231261451,2025-06-30 21:57:50.903726,2025-06-30 22:23:09.842610,0 days 00:25:18.938884,131,59,61,COMPLETE
103,2754.29453997552,2025-06-30 21:57:50.991210,2025-06-30 22:25:06.577031,0 days 00:27:15.585821,154,69,188,COMPLETE
104,151.1824774034758,2025-06-30 21:57:51.114900,2025-06-30 22:22:52.109772,0 days 00:25:00.994872,96,74,146,COMPLETE
105,-2519.8923975265743,2025-06-30 21:57:51.452342,2025-06-30 22:22:58.863665,0 days 00:25:07.411323,61,7,78,COMPLETE
106,-2458.8992771546564,2025-06-30 21:57:51.555142,2025-06-30 22:27:06.450674,0 days 00:29:14.895532,8,15,37,COMPLETE
107,3098.1839696556754,2025-06-30 21:57:51.625095,2025-06-30 22:25:18.277650,0 days 00:27:26.652555,48,75,99,COMPLETE
108,508.1103620569502,2025-06-30 21:57:51.990342,2025-06-30 22:29:02.090993,0 days 00:31:10.100651,27,24,237,COMPLETE
109,6226.652979912626,2025-06-30 21:57:52.271663,2025-06-30 22:25:32.381982,0 days 00:27:40.110319,108,45,95,COMPLETE
110,1822.3878627246304,2025-06-30 21:57:52.348160,2025-06-30 22:27:53.047549,0 days 00:30:00.699389,111,63,158,COMPLETE
111,763.1901830757042,2025-06-30 21:57:52.463632,2025-06-30 22:31:04.752784,0 days 00:33:12.289152,179,40,48,COMPLETE
112,-386.82300069954726,2025-06-30 21:57:52.983946,2025-06-30 22:29:48.730731,0 days 00:31:55.746785,68,28,159,COMPLETE
113,2469.472628580157,2025-06-30 21:57:53.048750,2025-06-30 22:32:29.770746,0 days 00:34:36.721996,67,58,94,COMPLETE
114,-4559.488728814357,2025-06-30 21:57:53.154044,2025-06-30 22:29:54.635496,0 days 00:32:01.481452,112,12,235,COMPLETE
115,-879.758348289447,2025-06-30 21:57:53.283207,2025-06-30 22:28:49.442191,0 days 00:30:56.158984,113,74,222,COMPLETE
116,1964.299970542981,2025-06-30 21:57:53.651216,2025-06-30 22:31:40.479681,0 days 00:33:46.828465,191,6,222,COMPLETE
117,10604.11093674603,2025-06-30 21:57:53.891969,2025-06-30 22:32:54.148140,0 days 00:35:00.256171,161,58,117,COMPLETE
118,1508.1683787338307,2025-06-30 21:57:54.182985,2025-06-30 22:31:10.817157,0 days 00:33:16.634172,130,30,174,COMPLETE
119,891.380704415028,2025-06-30 21:57:54.239653,2025-06-30 22:32:24.259004,0 days 00:34:30.019351,70,43,118,COMPLETE
120,2766.159420899613,2025-06-30 21:57:54.780555,2025-06-30 22:33:17.020214,0 days 00:35:22.239659,49,65,159,COMPLETE
