number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
68,13597.519484200131,2025-08-03 21:36:27.467503,2025-08-03 21:36:54.207911,0 days 00:00:26.740408,3.8915988747160135,19,73,COMPLETE
69,9097.348315015619,2025-08-03 21:36:27.587959,2025-08-03 21:36:53.179950,0 days 00:00:25.591991,1.7835938426704905,27,90,COMPLETE
70,745.2827457527341,2025-08-03 21:36:27.599113,2025-08-03 21:36:53.574667,0 days 00:00:25.975554,1.137854909062689,34,80,COMPLETE
71,1551.518909258255,2025-08-03 21:36:27.620372,2025-08-03 21:36:54.474966,0 days 00:00:26.854594,0.5597265055736034,8,77,COMPLETE
72,11229.107017835653,2025-08-03 21:36:27.741457,2025-08-03 21:36:54.272129,0 days 00:00:26.530672,1.1101012575220106,19,38,COMPLETE
73,4540.436203120765,2025-08-03 21:36:27.827872,2025-08-03 21:36:53.172350,0 days 00:00:25.344478,2.564378799412305,31,62,COMPLETE
74,4076.982153593291,2025-08-03 21:36:27.971669,2025-08-03 21:36:54.409083,0 days 00:00:26.437414,4.450207567690327,8,59,COMPLETE
75,3190.621165603576,2025-08-03 21:36:27.987678,2025-08-03 21:36:54.247175,0 days 00:00:26.259497,3.2749432520101442,46,99,COMPLETE
76,4858.634567788211,2025-08-03 21:36:28.036033,2025-08-03 21:36:54.308078,0 days 00:00:26.272045,2.2577434047761864,33,62,COMPLETE
77,23177.372118323154,2025-08-03 21:36:28.189261,2025-08-03 21:36:30.159564,0 days 00:00:01.970303,4.426706653296176,20,22,COMPLETE
78,23177.372118323154,2025-08-03 21:36:28.376171,2025-08-03 21:36:31.444567,0 days 00:00:03.068396,4.4211073844183675,20,22,COMPLETE
79,20802.936767015413,2025-08-03 21:36:28.426286,2025-08-03 21:36:32.729071,0 days 00:00:04.302785,4.42120098088601,20,27,COMPLETE
80,21434.582474038256,2025-08-03 21:36:28.488197,2025-08-03 21:36:49.609734,0 days 00:00:21.121537,4.402843979289956,20,24,COMPLETE
81,21538.418563052597,2025-08-03 21:36:28.523943,2025-08-03 21:36:54.950382,0 days 00:00:26.426439,4.396414168505181,21,21,COMPLETE
82,25369.081863086736,2025-08-03 21:36:28.530703,2025-08-03 21:36:44.112619,0 days 00:00:15.581916,4.485823439813185,23,22,COMPLETE
83,9954.546580776238,2025-08-03 21:36:28.544350,2025-08-03 21:36:42.798973,0 days 00:00:14.254623,4.3914152200147845,20,53,COMPLETE
84,3018.6487023274744,2025-08-03 21:36:28.573154,2025-08-03 21:36:54.447718,0 days 00:00:25.874564,0.5717168666107157,20,22,COMPLETE
85,1902.4823966820952,2025-08-03 21:36:28.653787,2025-08-03 21:36:58.547946,0 days 00:00:29.894159,0.5047272934668307,21,26,COMPLETE
86,1405.183536989163,2025-08-03 21:36:28.917636,2025-08-03 21:36:57.461118,0 days 00:00:28.543482,0.52474185911246,6,20,COMPLETE
87,1188.4820973911935,2025-08-03 21:36:28.950911,2025-08-03 21:36:54.279133,0 days 00:00:25.328222,0.5134935243975713,8,23,COMPLETE
88,1346.833669683054,2025-08-03 21:36:28.966278,2025-08-03 21:36:59.839200,0 days 00:00:30.872922,0.521774847252154,7,20,COMPLETE
89,2283.0195631728693,2025-08-03 21:36:28.977669,2025-08-03 21:36:40.202494,0 days 00:00:11.224825,0.5806026140771364,5,25,COMPLETE
90,31410.07004205998,2025-08-03 21:36:28.992895,2025-08-03 21:36:55.345875,0 days 00:00:26.352980,1.7983958047203767,6,23,COMPLETE
91,2822.356998759638,2025-08-03 21:36:29.027951,2025-08-03 21:37:00.966719,0 days 00:00:31.938768,0.6768875216892423,5,22,COMPLETE
92,713.1726975730159,2025-08-03 21:36:29.053762,2025-08-03 21:36:55.821495,0 days 00:00:26.767733,0.5188740626371402,8,22,COMPLETE
93,3161.270549998599,2025-08-03 21:36:29.054896,2025-08-03 21:37:07.230713,0 days 00:00:38.175817,0.7467144133084089,26,21,COMPLETE
94,3335.916853584682,2025-08-03 21:36:29.076604,2025-08-03 21:36:56.776015,0 days 00:00:27.699411,0.5734905302012144,26,22,COMPLETE
95,2257.0815761873682,2025-08-03 21:36:29.078097,2025-08-03 21:37:08.992256,0 days 00:00:39.914159,0.5478918669173818,6,21,COMPLETE
96,4012.7232647033243,2025-08-03 21:36:29.093563,2025-08-03 21:37:08.351227,0 days 00:00:39.257664,0.7684304052753834,7,26,COMPLETE
97,38587.34262907281,2025-08-03 21:36:29.099734,2025-08-03 21:36:53.430377,0 days 00:00:24.330643,4.484958642836618,5,23,COMPLETE
98,3780.43572821898,2025-08-03 21:36:29.160982,2025-08-03 21:36:57.713350,0 days 00:00:28.552368,0.5658266497572253,24,20,COMPLETE
99,2750.311506717854,2025-08-03 21:36:29.178320,2025-08-03 21:36:58.666637,0 days 00:00:29.488317,0.6127341644561293,5,20,COMPLETE
100,3321.091994987593,2025-08-03 21:36:29.203692,2025-08-03 21:37:03.996183,0 days 00:00:34.792491,0.6589711714658689,25,23,COMPLETE
101,1736.1240101193412,2025-08-03 21:36:29.236646,2025-08-03 21:37:05.059401,0 days 00:00:35.822755,0.6311589245519569,5,23,COMPLETE
102,18193.324442010606,2025-08-03 21:36:29.246994,2025-08-03 21:36:59.394769,0 days 00:00:30.147775,4.482728484809741,6,23,COMPLETE
103,31739.59575762688,2025-08-03 21:36:29.301365,2025-08-03 21:37:35.275630,0 days 00:01:05.974265,1.9323611635283942,5,22,COMPLETE
104,2043.3978430709435,2025-08-03 21:36:29.327461,2025-08-03 21:37:15.406336,0 days 00:00:46.078875,0.7026545516604803,6,22,COMPLETE
105,2764.9879487725743,2025-08-03 21:36:29.335114,2025-08-03 21:37:06.945379,0 days 00:00:37.610265,0.7077265636114327,6,21,COMPLETE
106,2315.80725632992,2025-08-03 21:36:29.374895,2025-08-03 21:37:00.804575,0 days 00:00:31.429680,0.6836768337072013,6,26,COMPLETE
107,39229.9338518294,2025-08-03 21:36:29.381045,2025-08-03 21:36:56.767056,0 days 00:00:27.386011,1.9083275554942802,5,22,COMPLETE
108,3487.0526325616966,2025-08-03 21:36:29.395066,2025-08-03 21:37:08.734884,0 days 00:00:39.339818,0.6242386174059484,24,21,COMPLETE
109,2945.205263551927,2025-08-03 21:36:29.396654,2025-08-03 21:37:10.629080,0 days 00:00:41.232426,0.7491359968590019,24,22,COMPLETE
110,3277.5707847604895,2025-08-03 21:36:29.397917,2025-08-03 21:37:02.278194,0 days 00:00:32.880277,0.5378349314805875,24,20,COMPLETE
111,4523.1976232333245,2025-08-03 21:36:29.406583,2025-08-03 21:37:11.084016,0 days 00:00:41.677433,0.6520617949140064,25,21,COMPLETE
