number,value,datetime_start,datetime_complete,duration,params_macd_fast,params_macd_signal,params_macd_slow,params_volume_sma,params_volume_spike_ratio,state
147,4524.97401638633,2025-07-31 22:27:49.223383,2025-07-31 22:29:56.130011,0 days 00:02:06.906628,19,11,45,50,1.6766547924628539,COMPLETE
148,8304.945780589997,2025-07-31 22:27:49.224858,2025-07-31 22:29:59.927370,0 days 00:02:10.702512,12,10,33,26,2.802265279158526,COMPLETE
149,18198.401132885927,2025-07-31 22:27:49.225724,2025-07-31 22:29:57.536940,0 days 00:02:08.311216,20,19,42,46,2.756343180291321,COMPLETE
150,4866.615142860639,2025-07-31 22:27:49.268045,2025-07-31 22:30:01.748015,0 days 00:02:12.479970,14,18,32,41,2.701732468569384,COMPLETE
151,3498.716950948543,2025-07-31 22:27:49.270128,2025-07-31 22:30:00.858562,0 days 00:02:11.588434,9,20,27,42,2.1719312514547613,COMPLETE
152,8655.438161706952,2025-07-31 22:27:49.274730,2025-07-31 22:30:04.793688,0 days 00:02:15.518958,11,9,24,12,2.5025141511467224,COMPLETE
153,2035.5459476523095,2025-07-31 22:27:49.275606,2025-07-31 22:30:04.889804,0 days 00:02:15.614198,9,15,45,46,2.1669267425741596,COMPLETE
154,25473.259846959816,2025-07-31 22:27:49.276962,2025-07-31 22:30:07.749472,0 days 00:02:18.472510,10,6,47,28,2.63024332533476,COMPLETE
155,5126.217178271813,2025-07-31 22:27:49.277878,2025-07-31 22:30:00.626455,0 days 00:02:11.348577,6,12,36,12,1.8628405203519185,COMPLETE
156,4827.948754041675,2025-07-31 22:27:49.279632,2025-07-31 22:30:06.529658,0 days 00:02:17.250026,12,16,43,13,2.028276921906014,COMPLETE
157,2358.6413900659927,2025-07-31 22:27:49.280124,2025-07-31 22:29:08.731313,0 days 00:01:19.451189,15,17,40,17,2.172797010240944,COMPLETE
158,4258.173801011087,2025-07-31 22:27:49.281490,2025-07-31 22:30:06.226890,0 days 00:02:16.945400,11,14,19,36,1.9949299105090355,COMPLETE
159,4047.985933946511,2025-07-31 22:27:49.281973,2025-07-31 22:30:05.077086,0 days 00:02:15.795113,7,17,18,38,2.6605617543060465,COMPLETE
160,18760.136714129683,2025-07-31 22:27:49.282367,2025-07-31 22:30:03.776066,0 days 00:02:14.493699,19,19,44,9,2.431929909585925,COMPLETE
161,15339.993082070248,2025-07-31 22:27:49.283346,2025-07-31 22:30:06.591883,0 days 00:02:17.308537,20,18,49,50,2.123332563638147,COMPLETE
162,10610.621831795743,2025-07-31 22:27:49.284441,2025-07-31 22:30:09.139132,0 days 00:02:19.854691,8,9,15,33,2.8041022564909293,COMPLETE
163,5615.846199090842,2025-07-31 22:27:49.285502,2025-07-31 22:30:04.652209,0 days 00:02:15.366707,6,7,31,16,2.8527080387736543,COMPLETE
164,2098.7258341556226,2025-07-31 22:27:49.286046,2025-07-31 22:30:08.651877,0 days 00:02:19.365831,20,11,42,43,1.562264311097334,COMPLETE
165,13071.10444602864,2025-07-31 22:27:49.286924,2025-07-31 22:30:08.282966,0 days 00:02:18.996042,9,8,45,17,2.061340521296007,COMPLETE
166,5768.791097346531,2025-07-31 22:27:49.287716,2025-07-31 22:30:03.902245,0 days 00:02:14.614529,13,17,24,18,2.130854454952355,COMPLETE
167,22668.82998910622,2025-07-31 22:27:49.288639,2025-07-31 22:30:04.425929,0 days 00:02:15.137290,14,8,28,29,2.682275482300752,COMPLETE
168,11683.83088832969,2025-07-31 22:27:49.289433,2025-07-31 22:30:12.421963,0 days 00:02:23.132530,11,14,21,43,2.0680872074323577,COMPLETE
169,21727.168211983186,2025-07-31 22:27:49.290577,2025-07-31 22:30:09.197449,0 days 00:02:19.906872,13,7,27,38,2.7915038216594983,COMPLETE
170,4708.782794412343,2025-07-31 22:27:49.292173,2025-07-31 22:30:10.765075,0 days 00:02:21.472902,5,14,36,48,2.053678935769138,COMPLETE
