number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
115,6457.308539523482,2025-08-06 11:09:08.614822,2025-08-06 11:10:13.817355,0 days 00:01:05.202533,4.497499933412457,5,98,COMPLETE
116,3346.308059660728,2025-08-06 11:09:08.621999,2025-08-06 11:09:44.060787,0 days 00:00:35.438788,4.3194740987808,7,100,COMPLETE
117,6254.328577536879,2025-08-06 11:09:08.664342,2025-08-06 11:10:16.288909,0 days 00:01:07.624567,4.493658677934338,6,51,COMPLETE
118,3576.5683040029344,2025-08-06 11:09:08.677834,2025-08-06 11:09:54.235633,0 days 00:00:45.557799,4.391064681486028,7,54,COMPLETE
119,4828.626578399162,2025-08-06 11:09:08.711280,2025-08-06 11:09:39.710675,0 days 00:00:30.999395,4.4929903865198835,6,52,COMPLETE
120,3370.880959429961,2025-08-06 11:09:08.725478,2025-08-06 11:10:27.734961,0 days 00:01:19.009483,4.449446879760116,7,52,COMPLETE
121,6757.714171020016,2025-08-06 11:09:08.740178,2025-08-06 11:09:45.767773,0 days 00:00:37.027595,1.8559083208046219,5,87,COMPLETE
122,13367.95330233893,2025-08-06 11:09:08.746165,2025-08-06 11:09:58.307037,0 days 00:00:49.560872,1.6958328460990546,7,87,COMPLETE
123,13117.956741401716,2025-08-06 11:09:08.748434,2025-08-06 11:09:58.635243,0 days 00:00:49.886809,1.645928175695022,5,87,COMPLETE
124,13367.95330233893,2025-08-06 11:09:08.750103,2025-08-06 11:09:58.812541,0 days 00:00:50.062438,1.6929120026275455,7,87,COMPLETE
125,14248.42004599129,2025-08-06 11:09:08.751928,2025-08-06 11:09:58.639485,0 days 00:00:49.887557,1.7859020624583628,5,85,COMPLETE
126,12334.085455884184,2025-08-06 11:09:08.754553,2025-08-06 11:10:30.580486,0 days 00:01:21.825933,1.5815402836109143,5,89,COMPLETE
127,8770.65404475533,2025-08-06 11:09:08.777459,2025-08-06 11:09:59.394485,0 days 00:00:50.617026,1.8399078755082248,8,87,COMPLETE
128,13168.481236444199,2025-08-06 11:09:08.804004,2025-08-06 11:10:34.147623,0 days 00:01:25.343619,1.6813529325803127,6,88,COMPLETE
129,11653.7172727534,2025-08-06 11:09:08.806909,2025-08-06 11:10:34.756709,0 days 00:01:25.949800,1.5689823444500528,5,87,COMPLETE
130,12034.25000780119,2025-08-06 11:09:08.808806,2025-08-06 11:09:47.848719,0 days 00:00:39.039913,1.7348248091911787,5,88,COMPLETE
131,10546.599695770126,2025-08-06 11:09:08.831024,2025-08-06 11:10:00.706682,0 days 00:00:51.875658,1.7698933965615598,5,87,COMPLETE
132,11262.746824320968,2025-08-06 11:09:08.861039,2025-08-06 11:10:00.736310,0 days 00:00:51.875271,1.766530606182275,6,89,COMPLETE
133,11906.870902806042,2025-08-06 11:09:08.896750,2025-08-06 11:10:02.728270,0 days 00:00:53.831520,1.5942373829056322,5,89,COMPLETE
134,10804.00978207521,2025-08-06 11:09:08.916681,2025-08-06 11:10:03.848462,0 days 00:00:54.931781,1.7615679410595426,5,87,COMPLETE
135,11291.848686115301,2025-08-06 11:09:08.969864,2025-08-06 11:10:06.700914,0 days 00:00:57.731050,1.7063121795412117,5,89,COMPLETE
136,12490.705107342106,2025-08-06 11:09:08.983024,2025-08-06 11:10:08.045832,0 days 00:00:59.062808,1.750821455951261,5,87,COMPLETE
137,12588.386642805426,2025-08-06 11:09:09.022498,2025-08-06 11:10:09.198392,0 days 00:01:00.175894,1.6137939742972311,5,88,COMPLETE
