number,value,datetime_start,datetime_complete,duration,params_rsi_oversold,params_rsi_period,params_stoch_d_period,params_stoch_k_period,params_stoch_overbought,params_stoch_oversold,params_stoch_smooth_period,state
136,2530.800109161848,2025-07-01 16:03:29.495408,2025-07-01 16:48:26.987821,0 days 00:44:57.492413,19,7,9,8,72,14,5,COMPLETE
137,5989.328908112195,2025-07-01 16:03:29.630445,2025-07-01 16:48:04.776786,0 days 00:44:35.146341,7,24,8,19,82,39,4,COMPLETE
138,5518.186926462329,2025-07-01 16:03:29.693629,2025-07-01 16:48:19.771665,0 days 00:44:50.078036,23,22,2,21,76,13,1,COMPLETE
139,4694.20204139871,2025-07-01 16:03:29.981068,2025-07-01 16:49:42.069224,0 days 00:46:12.088156,4,17,5,13,74,27,2,COMPLETE
140,12062.50433336126,2025-07-01 16:03:30.043594,2025-07-01 16:45:46.367489,0 days 00:42:16.323895,1,13,5,5,88,13,4,COMPLETE
141,2578.8513093735146,2025-07-01 16:03:30.487860,2025-07-01 16:51:14.309280,0 days 00:47:43.821420,13,28,5,17,81,33,1,COMPLETE
142,2528.3340073660165,2025-07-01 16:03:30.613928,2025-07-01 16:45:55.297940,0 days 00:42:24.684012,17,17,2,9,72,21,2,COMPLETE
143,3820.8752632904707,2025-07-01 16:03:30.781165,2025-07-01 16:47:27.209790,0 days 00:43:56.428625,20,29,9,20,84,21,5,COMPLETE
144,5765.701047096885,2025-07-01 16:03:31.165723,2025-07-01 16:50:15.869265,0 days 00:46:44.703542,9,28,4,11,65,13,5,COMPLETE
145,4547.412976695534,2025-07-01 16:03:31.324231,2025-07-01 16:51:05.405513,0 days 00:47:34.081282,28,24,4,15,74,27,3,COMPLETE
146,4401.028987749444,2025-07-01 16:03:31.464699,2025-07-01 16:50:26.724156,0 days 00:46:55.259457,11,28,7,15,78,23,1,COMPLETE
147,2846.0478503467384,2025-07-01 16:03:32.030887,2025-07-01 16:50:18.506446,0 days 00:46:46.475559,1,20,7,6,77,33,2,COMPLETE
148,6633.600703898555,2025-07-01 16:03:32.103124,2025-07-01 16:48:28.761473,0 days 00:44:56.658349,24,9,9,12,79,35,5,COMPLETE
149,95.55574475476897,2025-07-01 16:03:32.265406,2025-07-01 16:47:41.087460,0 days 00:44:08.822054,22,25,3,13,89,37,4,COMPLETE
